id,text,author"id06588","Having cast her fate upon a die, and feeling secure of winning, she, whom I have named as bearing the stamp of queen of nations on her noble brow, now rose superior to humanity, and seemed in calm power, to arrest with her finger, the wheel of destiny.","MWS"
"id20506","Of polished desert quarried marble were its walls, in height cubits and in breadth , so that chariots might pass each other as men drave them along the top.","HPL"
"id21734","She was the living spirit of love to soften and attract; I might have become sullen in my study, rough through the ardour of my nature, but that she was there to subdue me to a semblance of her own gentleness.","MWS"
"id03737","Still thou canst listen to me and grant me thy compassion.","MWS"
"id25827","I started up, my strength returned; sic with my terror; I cried, ""Oh, God Is this thy decree?","MWS"
"id12734","My beloved friends were alarmed nay, they expressed their alarm so anxiously, that I dared not pronounce the word plague, that hovered on my lips, lest they should construe my perturbed looks into a symptom, and see infection in my languor.","MWS"
"id22336","Perdita looked up; she saw his angry glance; his hand was on the lock of the door.","MWS"

"id25483","For a moment I kept sight of the glow of his lantern, and heard the rustle of the wire as he laid it down after him; but the glow soon disappeared abruptly, as if a turn in the stone staircase had been encountered, and the sound died away almost as quickly.","HPL"
"id02699","A diddler may thus be regarded as a banker in petto a ""financial operation,"" as a diddle at Brobdignag.","EAP"
"id24694","A fourth could only suppose it the Yankee's design to X press, in a general way, his X asperation.","EAP"
"id16410","There was no escape from this conclusion.","EAP"
"id22252","His name was Barzai the Wise, and the villagers tell of how he went up a mountain on the night of the strange eclipse.","HPL"
"id23958","Only his eyes stayed whole, and they glared with a propulsive, dilated incandescence which grew as the face around them charred and dwindled.","HPL"
"id07216","Often with maternal affection she had figured their merits and talents exerted on life's wide stage.","MWS"
"id18668","Upon this latter shelf, and exactly beneath one of the rims of the keg, a small earthern pitcher was deposited.","EAP"
"id08965","We approached the house from the field in the rear, took the specimen in the back door and down the cellar stairs, and prepared it for the usual experiment.","HPL"
"id14599","Idris smiled her thanks, and rose to take leave.","MWS"
"id07119","So Sarnath waxed mighty and learned and beautiful, and sent forth conquering armies to subdue the neighbouring cities; and in time there sate upon a throne in Sarnath the kings of all the land of Mnar and of many lands adjacent.","HPL"
"id27249","The weight upon my spirit was sensibly lightened as I plunged yet deeper in the ravine of Arve.","MWS"
"id16503","He dislikes children.","EAP"
"id15878","they rattled our door, but pa wouldn't open . . .","HPL"
"id23475","The style that was the thing.","EAP"
"id10738","The Sefton tragedy they will not connect with West; not that, nor the men with the box, whose existence they deny.","HPL"
"id16862","But why shall I minutely detail the unspeakable horrors of that night?","EAP"
"id02582","As he picked up the strange spiky image on the table he thought the older northward pull grew a trifle stronger; but even so, it was wholly overruled by the newer and more bewildering urge.","HPL"
"id14279","I've seen sights before, but there was one thing too much here.","HPL"
"id17162","Joe Slater, who came to the institution in the vigilant custody of four state policemen, and who was described as a highly dangerous character, certainly presented no evidence of his perilous disposition when first I beheld him.","HPL"
"id12681","And as the torches died out altogether, there remained above the stricken and shrieking cohort only the noxious and horrible altar flames on the towering peaks; hellish and red, and now silhouetting the mad, leaping, and colossal forms of such nameless beasts as had never a Phrygian priest or Campanian grandam whispered of in the wildest of furtive tales.","HPL"
"id08680","Perhaps its effects are not so permanent; but they are, while they last, as violent and intense.","MWS"
"id24828","I made the attempt and failed.","EAP"
"id21931","It was in good preservation, having received, apparently, little injury from the convulsion which entombed it.","EAP"
"id21032","Even broken in spirit as he is, no one can feel more deeply than he does the beauties of nature.","MWS"
"id03139","""This is infinitely ridiculous,"" he cried, ""if you were school boys, you could not conduct yourselves more unreasonably.""","MWS"
"id25202","I saw, in fine, that he would be driven, as a matter of course, to simplicity, if not deliberately induced to it as a matter of choice.","EAP"
"id15524","No one had thought of even attempting to save any thing more.","EAP"
"id25130","Our own distresses, though they were occasioned by the fictitious reciprocity of commerce, encreased in due proportion.","MWS"
"id12789","I glanced at its face by the moonlight, and then burst into tears as I flung it far away into the ocean.","EAP"
"id19766","The porter opened the gates of the court, which had that night been my asylum, and I issued into the streets, pacing them with quick steps, as if I sought to avoid the wretch whom I feared every turning of the street would present to my view.","MWS"
